Username,Total Level,Total EXP,Attack Level,Attack Exp,Defence Level,Defence EXP,Strength Level,Strength EXP,Hitpoints Level,Hitpoints EXP,Ranged Level,Ranged EXP,Prayer Level,Prayer EXP,Magic Level,Magic EXP,Cooking Level,Cooking EXP,Woodcutting Level,Woodcutting EXP,Fletching Level,Fletching EXP,Fishing Level,Fishing EXP,Firemaking Level,Firemaking EXP,Crafting Level,Crafting EXP,Smithing Level,Smithing EXP,Mining Level,Mining EXP,Herblore Level,Herblore EXP,Agility Level,Agility EXP,Thieving Level,Thieving EXP,Slayer Level,Slayer EXP,Farming Level,Farming EXP,Runecrafting Level,Runecrafting EXP,Hunter Level,Hunter EXP,Construction Level,Construction EXP,League Points,Bounter Hunter - Hunter,Bountry Hunter - Rogue,Clue Scrolls (all),Clue Scrolls (beginner),Clue Scrolls (easy),Clue Scrolls (medium),Clue Scrolls (hard),Clue Scrolls (elite),Clue Scrolls (master),LMS - Rank,Soul Wars Zeal,PVP Arena - Rank,Guardians of the Rift - Rifts Closed,Abyssal Sire,Alchemical Hydra,Barrows Chests,Bryophyta,Callisto,Cerberus,Chambers of Xeric,Chambers of Xeric: Challenge Mode,Chaos Elemental,Chaos Fanatic,Commander Zilyana,Corporeal Beast,Crazy Archaeologist,Dagannoth Prime,Dagannoth Rex,Dagannoth Supreme,Deranged Archaeologist,General Graardor,Giant Mole,Grotesque Guardians,Hespori,Kalphite Queen,King Black Dragon,Kraken,Kree'Arra,K'ril Tsutsaroth,Mimic,Nex,Nightmare,Phosani's Nightmare,Obor,Phantom Muspah,Sarachnis,Scorpia,Skotizo,Tempoross,The Gauntlet,The Corrupted Gauntlet,Theatre of Blood,Theatre of Blood: Hard Mode,Thermonuclear Smoke Devil,Tombs of Amascut,Tombs of Amascut: Expert Mode,TzKal-Zuk,TzTok-Jad,Venenatis,Vet'ion,Vorkath,Wintertodt,Zalcano,Zulrah,Time
Sonfish,2180,341335673,99,15597931,99,15906712,99,35716478,99,47175985,99,46443010,95,8871989,99,26395855,99,14606730,86,3774416,91,6020519,91,6417614,95,9339108,99,13234512,90,5553183,86,3869627,99,13102965,87,4237706,93,7391046,99,16268488,99,16430332,84,3198245,94,8630348,99,13152874,-1,2,-1,1260,51,189,418,392,101,109,698,-1,-1,130,440,602,488,11,84,1070,796,12,62,53,523,86,93,313,336,298,50,1445,2281,114,162,275,123,497,647,402,14,38,-1,-1,5,221,74,50,34,100,-1,468,155,-1,772,71,50,1,19,56,209,303,425,480,1896,"3/26/2023, 12:01:24 AM"
stjonkbonk,2200,440836102,99,25345958,99,20522843,99,33918647,99,65905189,99,86229612,92,7018536,99,25425308,99,13084113,92,6533435,99,13446072,91,5940796,99,13039770,99,13436135,94,8073153,86,3623683,99,13068917,88,4654956,91,6069332,99,38466417,99,13484017,96,10289737,88,4486178,95,8773298,-1,-1,-1,4446,1017,2277,456,351,226,119,-1,-1,-1,424,870,4123,1166,16,122,5949,288,-1,93,178,1160,106,1083,1789,1780,1805,50,1966,1249,836,84,127,855,4743,157,956,17,191,44,-1,5,248,135,555,49,66,-1,-1,-1,-1,1229,69,-1,-1,37,1019,50,2231,492,76,1362,"3/26/2023, 12:01:26 AM"
Suitabl3,2130,236012582,99,14243202,99,14338779,99,16300796,99,33008763,99,28980717,92,6683277,99,19870153,91,5922679,86,3970596,91,6000048,91,6132890,86,3645829,94,8183818,90,5682387,85,3429571,95,8907516,88,4745893,91,6450121,99,13950503,99,14483631,86,3728782,86,3677376,86,3675255,-1,-1,-1,650,192,53,77,229,80,19,561,-1,-1,383,472,1265,466,5,-1,430,164,10,-1,-1,332,81,-1,158,251,171,-1,954,50,165,151,107,93,3734,338,340,1,-1,55,-1,5,48,426,-1,28,214,-1,440,131,-1,881,67,77,2,6,123,95,252,166,163,528,"3/26/2023, 12:01:27 AM"
The 0racle,2055,372845484,99,30123265,99,22473691,99,69572798,99,71061842,99,62262479,98,11809625,99,27051977,86,3755350,87,4001668,77,1481767,83,2889639,85,3555713,99,13152208,83,2779014,82,2637683,90,5875567,83,2725579,82,2585100,99,20957264,85,3355604,79,1841059,72,991243,91,5905349,-1,-1,-1,293,-1,13,84,136,10,50,500,-1,-1,-1,50,2623,216,9,-1,1128,1004,144,-1,-1,209,112,59,505,552,509,-1,181,-1,141,23,87,36,2538,103,107,6,1328,82,126,10,281,69,-1,55,36,39,5,855,48,79,149,224,1,9,-1,-1,208,107,-1,357,"3/26/2023, 12:01:29 AM"
The Maher,2197,281380263,89,5345700,89,5157051,99,18342194,99,19664468,99,22599994,86,3712583,99,19861570,99,20790743,99,13352727,99,13053276,95,9581363,97,11071282,99,13671347,99,14980400,96,10496429,99,13134884,93,7570852,99,17972511,88,4433730,99,13740402,97,11104012,94,8189928,85,3552817,-1,-1,-1,337,35,55,127,64,23,33,-1,-1,1406,321,-1,-1,247,10,-1,-1,140,-1,-1,-1,-1,-1,343,-1,-1,-1,-1,-1,794,433,31,118,281,186,-1,-1,1,-1,-1,-1,-1,185,-1,67,10,211,-1,188,-1,-1,-1,162,64,-1,9,190,212,304,288,1441,-1,"3/26/2023, 12:01:31 AM"
tits n rice,2178,490134121,99,36357960,99,17867833,99,47146764,99,84578623,99,118542900,98,11990690,99,37105738,99,15359235,93,7381193,94,8392617,99,13035101,86,3631418,97,10750169,88,4594597,99,13167565,99,13279082,87,4156229,93,7312296,99,14537483,92,7103695,87,4257442,92,7000023,82,2585468,-1,-1,-1,518,9,25,311,152,19,2,504,-1,-1,111,387,1520,369,5,47,787,729,263,-1,60,136,100,-1,88,169,88,-1,1012,769,50,60,170,303,777,1002,69,-1,823,-1,1,6,420,300,-1,45,63,-1,269,373,-1,-1,282,712,1,-1,-1,-1,269,160,-1,869,"3/26/2023, 12:01:32 AM"
wha who,2277,393033223,99,15908768,99,14591539,99,31476353,99,42116628,99,45672157,99,13036680,99,17508866,99,13314252,99,13182869,99,13087585,99,13079612,99,13069839,99,14969809,99,13207485,99,13298684,99,13141734,99,13561418,99,13266923,99,13126628,99,13136172,99,13065325,99,13132457,99,13081440,-1,4,-1,85,-1,2,37,26,15,5,-1,-1,-1,-1,99,1661,65,-1,-1,172,404,-1,279,-1,93,-1,-1,49,39,41,-1,128,240,171,18,262,192,3360,-1,-1,-1,1214,-1,-1,-1,115,-1,266,36,232,-1,97,152,-1,647,243,79,1,27,-1,98,461,-1,303,689,"3/26/2023, 12:01:34 AM"
Willowfi,2160,347942865,99,14735754,99,17296320,99,42706417,99,57639835,99,62451941,92,6524170,99,27150553,97,10694791,96,10109160,91,6051151,92,6645830,93,7411744,93,7694707,89,4843564,89,4846125,90,5823421,88,4698428,91,6387840,99,14197777,99,15284587,88,4386723,90,5396471,89,4965556,-1,-1,-1,878,30,16,371,196,181,84,656,-1,-1,83,540,475,155,10,42,1291,1117,208,40,49,243,145,111,704,652,705,103,1157,137,685,86,191,1169,1302,393,951,11,-1,53,-1,5,152,1318,45,41,120,38,84,208,5,289,192,115,-1,15,235,189,786,241,155,1980,"3/26/2023, 12:01:36 AM"
wimen,2103,220888517,90,5487892,88,4717711,90,5477881,98,12044059,99,14244193,78,1670433,99,14559737,99,14344486,96,10045747,91,6161790,91,6156832,81,2252782,99,13891374,90,5873697,97,11363657,91,6229097,91,5918988,85,3516257,89,4964575,99,57327922,79,1928136,93,7325495,90,5385776,-1,-1,-1,1124,253,179,333,250,87,22,-1,-1,252,51,135,-1,565,11,-1,-1,-1,-1,53,-1,-1,-1,-1,57,307,61,-1,854,-1,-1,528,-1,46,266,-1,-1,2,-1,-1,-1,6,-1,-1,-1,20,-1,50,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,950,"3/26/2023, 12:01:38 AM"
WolfAndSpice,2170,240745226,99,13200340,97,11236687,99,15510032,99,25326426,99,19713961,86,3863392,99,14480788,99,16216989,93,7831406,99,13037808,94,8684805,93,7927271,90,5396736,91,6386950,89,5189928,85,3546798,93,7689079,99,14704405,97,11402153,92,6980853,91,6352039,95,8947878,92,7118502,-1,-1,-1,527,60,261,90,84,22,10,-1,-1,1652,243,-1,245,229,5,258,-1,151,22,-1,71,37,45,175,45,100,39,50,198,770,201,17,47,150,2526,-1,42,2,107,-1,-1,5,171,106,-1,12,43,-1,-1,-1,-1,731,79,-1,-1,6,-1,-1,207,198,340,321,"3/26/2023, 12:01:40 AM"
Yankees fan7,2137,193438483,99,13299602,99,13239365,99,13318868,99,17694927,95,9298198,90,5414198,95,9025450,99,13089175,92,6583649,91,6093588,92,6657279,94,8585676,91,6491848,93,7821421,84,3247548,86,3716790,86,3805288,91,6105208,96,10315944,91,6062183,93,7524147,99,13129557,83,2918574,-1,-1,-1,57,18,1,2,25,1,10,500,-1,-1,607,-1,-1,57,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,25,18,-1,-1,39,107,14,-1,-1,1406,-1,-1,-1,-1,-1,-1,5,-1,158,-1,35,202,-1,-1,-1,-1,545,-1,-1,-1,-1,-1,-1,50,378,-1,-1,"3/26/2023, 12:01:41 AM"
Yungllef,2242,410460376,99,15969899,99,15911621,99,27029856,99,50223063,99,63206860,99,13063085,99,26576848,99,14659160,99,14554235,99,13045147,95,8819778,96,9696615,99,15091043,95,8941694,99,13073195,99,13112666,87,4311684,92,6599171,99,28091591,98,12552254,99,13977370,99,13149238,95,8804303,-1,-1,-1,760,10,20,316,224,38,152,3085,-1,-1,96,207,2043,105,11,453,1990,181,-1,89,101,100,80,-1,2002,2371,2087,50,-1,63,317,54,805,399,3637,427,39,8,330,-1,-1,13,137,55,-1,86,52,145,420,-1,-1,213,104,-1,-1,6,1420,129,912,324,212,2076,"3/26/2023, 12:01:43 AM"
